integration,metric_name,metric_type,metric_enabled,metric_description
MongoDB,asserts.messagesPerSecond,Rate,true,The number of message assertions raised per second.
MongoDB,asserts.regularPerSecond,Rate,true,The number of regular assertions raised per second.
MongoDB,asserts.rolloversPerSecond,Gauge,true,The number of times that the rollover counters roll over  The counters rollover to zero every 2^30 assertionsper second.
MongoDB,asserts.userPerSecond,Rate,true,The number of user assertions raised per second.
MongoDB,asserts.warningPerSecond,Rate,true,The number of warnings raised per second.
MongoDB,flush.averageInMilliseconds,Gauge,true,The Average time for each flush to disk.
MongoDB,flush.flushesDisk,Gauge,true,The number of times the database has flushed all writes to disk.
MongoDB,flush.lastInMilliseconds,Gauge,true,The amount of time that the last flush operation took to complete.
MongoDB,flush.totalInMilliseconds,Gauge,true,The total number of time that the `mongod` processes have spent writing (ie flushing) data to disk.
MongoDB,connections.available,Gauge,true,The number of unused available incoming connections the database can provide.
MongoDB,connections.current,Gauge,true,The number of connections to the database server from clients.
MongoDB,connections.totalCreated,Gauge,true,The total number of connections created.
MongoDB,totalDatabases,Gauge,true,The total number of existing databases.
MongoDB,dur.commits,Gauge,true,The number of transactions written to the journal during the last journal group commit interval.
MongoDB,dur.commitsInWriteLock,Gauge,true,The count of the commits that occurred while a write lock was held.
MongoDB,dur.compression,Gauge,true,The Compression ratio of the data written to the journal.
MongoDB,dur.earlyCommits,Gauge,true,The number of times MongoDB has requested a commit before the scheduled journal group commit interval.
MongoDB,dur.journaledInBytes,Gauge,true,The amount of data written to journal during the last journal group commit interval.
MongoDB,dur.commitsInMilliseconds,Gauge,true,The amount of time spent for commits.
MongoDB,dur.commitsInWriteLockInMilliseconds,Gauge,true,The amount of time spent for commits that occurred while a write lock was held.
MongoDB,dur.timeCollectedCommitsInMilliseconds,Gauge,true,"The amount of time over which MongoDB collected the durcommitsInMilliseconds data"
MongoDB,dur.preparingInMilliseconds,Gauge,true,The amount of time spent preparing to write to the journal.
MongoDB,dur.remappingInMilliseconds,Gauge,true,The amount of time spent remapping copy-on-write memory mapped views.
